Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,CFG,12230058579.283323,6491000000,,Citizens Financial Group
2019-09-30,2019,3,FITB,15005219046.982178,8203000000,,Fifth Third Bancorp
2019-09-30,2019,3,HBAN,16236885118.269531,4667000000,,Huntington Bancshares
2019-09-30,2019,3,KEY,13838300430.52185,6182000000,,KeyCorp
2019-09-30,2019,3,MTB,22188173026.174316,6191943000,,M&T Bank
2019-09-30,2019,3,RF,11722772083.43506,5904000000,,Regions Financial Corporation
2019-12-31,2019,4,CFG,14183086158.33789,6491000000,,Citizens Financial Group
2019-12-31,2019,4,FITB,16978490708.759766,8203000000,,Fifth Third Bancorp
2019-12-31,2019,4,HBAN,17327972328.35254,4667000000,,Huntington Bancshares
2019-12-31,2019,4,KEY,15851192686.692932,6182000000,,KeyCorp
2019-12-31,2019,4,MTB,24001060378.64502,6191943000,,M&T Bank
2019-12-31,2019,4,RF,12834991907.165527,5904000000,,Regions Financial Corporation
2020-03-31,2020,1,CFG,6637353453.4053955,6905000000,,Citizens Financial Group
2020-03-31,2020,1,FITB,8333229594.450562,7491000000,,Fifth Third Bancorp
2020-03-31,2020,1,HBAN,9604765200.198242,4815000000,,Huntington Bancshares
2020-03-31,2020,1,KEY,8214329016.938904,6490000000,,KeyCorp
2020-03-31,2020,1,MTB,14736082162.17749,5954761000,,M&T Bank
2020-03-31,2020,1,RF,6781442516.876221,6275000000,,Regions Financial Corporation
2020-06-30,2020,2,CFG,9063859227.985596,6905000000,,Citizens Financial Group
2020-06-30,2020,2,FITB,10977156141.160645,7491000000,,Fifth Third Bancorp
2020-06-30,2020,2,HBAN,10734882851.235718,4815000000,,Huntington Bancshares
2020-06-30,2020,2,KEY,9801088392.658691,6490000000,,KeyCorp
2020-06-30,2020,2,MTB,14963932374.534424,5954761000,,M&T Bank
2020-06-30,2020,2,RF,8514075028.808594,6275000000,,Regions Financial Corporation
2020-09-30,2020,3,CFG,9222914487.326294,6905000000,,Citizens Financial Group
2020-09-30,2020,3,FITB,12138639127.659424,7491000000,,Fifth Third Bancorp
2020-09-30,2020,3,HBAN,11055084041.590332,4815000000,,Huntington Bancshares
2020-09-30,2020,3,KEY,9741037162.00476,6490000000,,KeyCorp
2020-09-30,2020,3,MTB,13392556575.864014,5954761000,,M&T Bank
2020-09-30,2020,3,RF,8945600288.81836,6275000000,,Regions Financial Corporation
2020-12-31,2020,4,CFG,13228244376.039915,6905000000,,Citizens Financial Group
2020-12-31,2020,4,FITB,16057368924.87207,7491000000,,Fifth Third Bancorp
2020-12-31,2020,4,HBAN,15410995140.831057,4815000000,,Huntington Bancshares
2020-12-31,2020,4,KEY,13552564079.078552,6490000000,,KeyCorp
2020-12-31,2020,4,MTB,18682985736.53076,5954761000,,M&T Bank
