Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,AVY,8408869393.933105,7070100000,,Avery Dennison
2019-09-30,2019,3,IP,10908105482.177734,22376000000,,International Paper
2019-09-30,2019,3,PKG,8134808558.480469,6964300000,,Packaging Corporation of America
2019-12-31,2019,4,AVY,9729914589.715576,7070100000,,Avery Dennison
2019-12-31,2019,4,IP,12147351367.614746,22376000000,,International Paper
2019-12-31,2019,4,PKG,8647515639.368652,6964300000,,Packaging Corporation of America
2020-03-31,2020,1,AMCR,9624698347.18048,12468000000,,Amcor
2020-03-31,2020,1,IP,8311516142.39502,20580000000,,International Paper
2020-03-31,2020,1,PKG,6767364716.236084,6658200000,,Packaging Corporation of America
2020-06-30,2020,2,AMCR,12242785811.236938,12468000000,,Amcor
2020-06-30,2020,2,IP,9550962804.1687,20580000000,,International Paper
2020-06-30,2020,2,PKG,7841348286.182373,6658200000,,Packaging Corporation of America
2020-09-30,2020,3,AMCR,13386993120.27649,12468000000,,Amcor
2020-09-30,2020,3,IP,11152570219.604492,20580000000,,International Paper
2020-09-30,2020,3,PKG,8633325353.105713,6658200000,,Packaging Corporation of America
2020-12-31,2020,4,AMCR,14401717824.406128,12468000000,,Amcor
2020-12-31,2020,4,IP,13828643134.094238,20580000000,,International Paper
2020-12-31,2020,4,PKG,10999212152.513428,6658200000,,Packaging Corporation of America
2021-03-31,2021,1,AMCR,14440806028.434692,12861000000,,Amcor
2021-03-31,2021,1,AVY,13972427271.875,6971500000,,Avery Dennison
2021-03-31,2021,1,IP,15196996818.17627,19363000000,,International Paper
2021-03-31,2021,1,PKG,10802833143.368652,7730300000,,Packaging Corporation of America
2021-06-30,2021,2,AMCR,14310227608.50952,12861000000,,Amcor
2021-06-30,2021,2,AVY,16044915925.183104,6971500000,,Avery Dennison
2021-06-30,2021,2,IP,17372048618.896484,19363000000,,International Paper
2021-06-30,2021,2,PKG,10954496752.369629,7730300000,,Packaging Corporation of America
2021-09-30,2021,3,AMCR,14608509834.04663,12861000000,,Amcor
2021-09-30,2021,3,AVY,15861267711.462402,6971500000,,Avery Dennison
2021-09-30,2021,3,IP,15981630741.882324,19363000000,,International Paper
2021-09-30,2021,3,PKG,11191685766.858398,7730300000,,Packaging Corporation of America
2021-12-31,2021,4,AMCR,15291316994.397217,12861000000,,Amcor
2021-12-31,2021,4,AVY,16630215223.64502,6971500000,,Avery Dennison
2021-12-31,2021,4,IP,14310637542.480469,19363000000,,International Paper
2021-12-31,2021,4,PKG,11169686061.309814,7730300000,,Packaging Corporation of America
2022-03-31,2022,1,AMCR,14572729750.818848,14544000000,,Amcor
2022-03-31,2022,1,AVY,13410755228.979492,8408300000,,Avery Dennison
2022-03-31,2022,1,IP,14198978068.908691,21161000000,,International Paper
2022-03-31,2022,1,PKG,12893296428.040527,8478000000,,Packaging Corporation of America
2022-06-30,2022,2,AMCR,16135936748.567017,14544000000,,Amcor
2022-06-30,2022,2,AVY,12532145473.339844,9039300000,,Avery Dennison
2022-06-30,2022,2,IP,12995484949.21875,21161000000,,International Paper
2022-06-30,2022,2,PKG,11455947389.193604,8478000000,,Packaging Corporation of America
2022-09-30,2022,3,AMCR,14071583909.092163,14544000000,,Amcor
2022-09-30,2022,3,AVY,12647547796.21582,9039300000,,Avery Dennison
2022-09-30,2022,3,IP,9953575682.58667,21161000000,,International Paper
2022-09-30,2022,3,PKG,9459070381.907717,8478000000,,Packaging Corporation of America
2022-12-31,2022,4,AMCR,15780957467.655518,14544000000,,Amcor
2022-12-31,2022,4,AVY,14125467449.975586,9039300000,,Avery Dennison
2022-12-31,2022,4,IP,11012774891.1438,21161000000,,International Paper
2022-12-31,2022,4,PKG,10877187064.258057,8478000000,,Packaging Corporation of America
2023-03-31,2023,1,AMCR,15244192813.590088,14694000000,,Amcor
2023-03-31,2023,1,AVY,14021743896.118164,8364299999,,Avery Dennison
2023-03-31,2023,1,IP,11604316977.111816,18916000000,-15.46,International Paper
2023-03-31,2023,1,PKG,11919808943.64795,7802400000,12.03,Packaging Corporation of America
2023-06-30,2023,2,AMCR,13530861915.5188,14694000000,,Amcor
2023-06-30,2023,2,AVY,13529014105.688477,8364299999,,Avery Dennison
2023-06-30,2023,2,IP,10389544600.646973,18916000000,-15.46,International Paper
2023-06-30,2023,2,PKG,11455642494.336426,7802400000,12.03,Packaging Corporation of America
2023-09-30,2023,3,AMCR,12582360276.286133,14694000000,,Amcor
2023-09-30,2023,3,AVY,14446920479.35791,8364299999,,Avery Dennison
2023-09-30,2023,3,IP,11738387860.778809,18916000000,-15.46,International Paper
2023-09-30,2023,3,PKG,13421719639.791504,7802400000,12.03,Packaging Corporation of America
2023-12-31,2023,4,AMCR,13420738709.211792,14694000000,,Amcor
2023-12-31,2023,4,AVY,16054848886.193848,8364299999,,Avery Dennison
2023-12-31,2023,4,IP,12136701607.60498,18916000000,-15.46,International Paper
2023-12-31,2023,4,PKG,14347036477.37793,7802400000,12.03,Packaging Corporation of America
2024-03-31,2024,1,AMCR,13423331448.889404,13639000000,9.39,Amcor
2024-06-30,2024,2,AMCR,13977944793.058716,13639000000,9.39,Amcor
2024-09-30,2024,3,AMCR,16404609914.553469,13639000000,9.39,Amcor
