Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,FTNT,11766586514.45874,2156200000,,Fortinet
2019-09-30,2019,3,NOW,52373569678.458984,3460437000,,ServiceNow
2019-12-31,2019,4,FTNT,16365303735.512209,2156200000,,Fortinet
2019-12-31,2019,4,NOW,58247414692.55078,3460437000,,ServiceNow
2020-03-31,2020,1,CRWD,12957682185.57959,481413000,,CrowdStrike
2020-03-31,2020,1,FTNT,15508409267.065918,2594400000,,Fortinet
2020-03-31,2020,1,GEN,10427704671.54895,2490000000,,Gen Digital
2020-03-31,2020,1,MSFT,1126846277265.625,143015000000,,Microsoft
2020-03-31,2020,1,NOW,59126320796.990234,4519484000,,ServiceNow
2020-03-31,2020,1,PANW,17885357907.903076,3408400000,,Palo Alto Networks
2020-06-30,2020,2,CRWD,23339187340.73877,481413000,,CrowdStrike
2020-06-30,2020,2,FTNT,21042200804.91748,2594400000,,Fortinet
2020-06-30,2020,2,GEN,11115158600.8125,2490000000,,Gen Digital
2020-06-30,2020,2,MSFT,1458139293339.8438,143015000000,,Microsoft
2020-06-30,2020,2,NOW,83570760275.8164,4519484000,,ServiceNow
2020-06-30,2020,2,PANW,25053245303.806152,3408400000,,Palo Alto Networks
2020-09-30,2020,3,CRWD,31956699045.910156,481413000,,CrowdStrike
2020-09-30,2020,3,FTNT,18059165608.0166,2594400000,,Fortinet
2020-09-30,2020,3,GEN,11746110304.609495,2490000000,,Gen Digital
2020-09-30,2020,3,MSFT,1510647339208.9844,143015000000,,Microsoft
2020-09-30,2020,3,NOW,100063741120.0,4519484000,,ServiceNow
2020-09-30,2020,3,PANW,26698228901.575684,3408400000,,Palo Alto Networks
2020-12-31,2020,4,CRWD,49294114949.91016,481413000,,CrowdStrike
2020-12-31,2020,4,FTNT,22768252100.85107,2594400000,,Fortinet
2020-12-31,2020,4,GEN,11791236629.583252,2490000000,,Gen Digital
2020-12-31,2020,4,MSFT,1601662790449.2188,143015000000,,Microsoft
2020-12-31,2020,4,NOW,113563060395.44922,4519484000,,ServiceNow
2020-12-31,2020,4,PANW,38767245177.793945,3408400000,,Palo Alto Networks
2021-03-31,2021,1,CRWD,42473176931.56738,874438000,,CrowdStrike
2021-03-31,2021,1,FTNT,28269851291.487305,3342200000,,Fortinet
2021-03-31,2021,1,GEN,12136400420.163208,2551000000,,Gen Digital
2021-03-31,2021,1,MSFT,1701707736455.078,168088000000,,Microsoft
2021-03-31,2021,1,NOW,103181187846.89844,5896000000,,ServiceNow
2021-03-31,2021,1,PANW,35131486279.17578,4256100000,,Palo Alto Networks
2021-06-30,2021,2,CRWD,58484106691.36328,874438000,,CrowdStrike
2021-06-30,2021,2,FTNT,36512288007.140625,3342200000,,Fortinet
2021-06-30,2021,2,GEN,15607324114.906494,2551000000,,Gen Digital
2021-06-30,2021,2,MSFT,1959778597324.2188,168088000000,,Microsoft
2021-06-30,2021,2,NOW,113381500435.08205,5896000000,,ServiceNow
